[   0.0 ->    7.9]  ...принадлежит рациональным числам в отрезке минус 1 метр, то есть это минус 1 метр, пересечение с рациональным числом.
[   9.5 ->   17.6]  И тогда получается, что каждое из этих множеств обоих, оно будет не пересекаться в предыдущем.
[  18.2 ->   19.6]  То есть если у нас есть...
[  19.6 ->   28.0]  Потому что мы добавили рациональный, да, там у нас пересечение с ху-2, оно должно быть равно с уставом на множество.
[  28.0 ->   44.4]  Вот, ну и само, сейчас, получается, если мы рассмотрим все такие множества, то их количество будет счетно, потому что мы сдвигали на рациональные точки.
[  45.1 ->   51.9]  И получается, если мы рассмотрим такое непересекающееся объединение по всем рациональным точкам,
[  51.9 ->   71.6]  то окажется, что оно вложено, в него, точнее, вложено отрезок 0.1, то есть оно полностью перекроет отрезок 0.1, вот.
[  72.3 ->   73.8]  Но это тоже надо доказать, доказывать или нет?
[  74.0 ->   75.3]  Ну, нет, просто идти.
[  75.3 ->   76.3]  Вот, ну, это...
[  76.9 ->   81.9]  Короче, это тоже несложно доказывать, если мы отсюда точку X берем, она обязательно попадет в какой-то вот из таких вот множеств.
[  81.9 ->   87.0]  Ну, и очевидным образом, куда мы можем попасть максимум?
[  87.0 ->   92.5]  Мы можем вот эту точку сдвинуть на самое маленькое рациональное число зашпотрезком минус 1.
[  93.1 ->   98.4]  То есть попадем в минус 1 правильно, а точку 1 сдвигаем на самое большое, и в 2 попадаем.
[  98.9 ->   99.4]  Справедливо?
[ 100.5 ->  101.6]  Красивая, да, справедливо.
[ 101.6 ->  102.0]  Вот.
[ 102.0 ->  106.9]  Ну, и теперь используем просто полуодзитивность меры.
[ 108.1 ->  108.3]  Вот.
[ 109.0 ->  110.4]  Не полуодзитивность, а как активность.
[ 110.9 ->  111.7]  Или это полуодзитивность?
[ 111.7 ->  112.4]  Монотонная.
[ 112.6 ->  112.9]  Да, вот.
[ 114.1 ->  116.0]  У нас получится, что мера...
[ 116.0 ->  121.7]  Мера отрезка...
[ 122.4 ->  125.6]  По полу.
[ 125.8 ->  127.0]  Костя, аккуратно.
[ 127.2 ->  127.9]  Спасибо.
[ 128.6 ->  129.4]  Костя, жечь.
[ 130.4 ->  136.0]  Вот, мера отрезка 0.1, она не должна превосходить...
[ 136.0 ->  141.0]  Меры вот такого не пересекающего объединения, а здесь используем сигма-аддитивность меры.
[ 142.2 ->  145.0]  И получаем, что это мера...
[ 145.0 ->  150.3]  Ну, опять же, мы же принимаем за факт, что у нас, если происходит сдвиг множества, то его мера не меняется, правильно?
[ 150.4 ->  151.1]  Да, да, это и факт уже.
[ 151.1 ->  156.9]  Все, то есть это просто сумма какого-то там счетного количества.
[ 157.1 ->  165.4]  Вот это вот так вот, где бесконечности, множество в это.
[ 165.7 ->  165.9]  Да.
[ 166.4 ->  166.8]  Вот.
[ 167.2 ->  170.5]  Я еще не знаю, множество.
[ 170.5 ->  177.4]  И здесь тогда будет мера отрезка минус 1, 2.
[ 179.1 ->  179.5]  Вот.
[ 179.9 ->  188.8]  И мы получаем, что у нас сумма мер должна находиться между числом, которое очевидно, 1 и 3, правильно?
[ 188.8 ->  192.1]  То есть сумма мер заключена между 1 и 3.
[ 192.5 ->  193.2]  Ну, что такое мера?
[ 193.6 ->  195.3]  Это неотрицательная функция.
[ 195.8 ->  197.3]  Значит, у нас здесь, возможно, два варианта.
[ 197.8 ->  198.5]  Либо мера 0.
[ 199.9 ->  203.9]  То есть изначально, если мы предполагаем, что мера множества виталия 0,
[ 203.9 ->  210.0]  то приходит к противоречию, потому что сумма этих мер должна лежать между 1 и 3.
[ 210.7 ->  212.5]  А сумма бесконечных нулей это 0.
[ 213.1 ->  213.2]  Вот.
[ 213.2 ->  219.1]  То есть если мы предполагаем, что сумма больше от руля, то мы получаем просто расходящий сервис.
[ 219.7 ->  222.2]  Он не может лежать между нищей тройкой.
[ 222.2 ->  225.0]  Это совершенно верно, и тогда получается неизмеримо.
[ 225.4 ->  230.2]  Это пример, который, такой классический виталий, его можно свернуть на окружность.
[ 230.4 ->  232.1]  То есть идея здесь отрезка.
[ 232.6 ->  236.2]  Вот приходится за границей отрезка выходить при вот этих двигателях.
[ 236.4 ->  240.8]  А можно сделать реализацию этого же способа на единичной окружности.
[ 241.0 ->  247.6]  То есть мы рассматриваем условно отрезок 0,2π, но сворачиваем его в окружность единичного радиуса.
[ 247.6 ->  259.2]  На окружности выберем, ну то есть фактически здесь, мы выбираем некоторое иррациональное число альфа из этого промежутка и пересечение с 0,2π.
[ 259.7 ->  263.1]  Это другой способ построения такого неизменимого множества.
[ 263.8 ->  266.6]  И дальше мы строим всевозможные сдвиги.
[ 267.2 ->  274.6]  То есть берем некоторую точку, любую из этого промежутка, и строим вот такие вот сдвиги.
[ 274.6 ->  277.0]  2πn альфа.
[ 277.0 ->  279.1]  Это поворот на окружности.
[ 279.4 ->  284.6]  В зависимости от альфа мы здесь получим из конкретного х какой-то набор точек.
[ 285.5 ->  296.0]  И вот если х брать разные, то получается, что этим поворотом на иррациональный сдвиг мы всегда будем получать точки, которые дают непересекающееся множество.
[ 296.4 ->  298.4]  То есть это будут классы эквивалентности.
[ 298.4 ->  308.4]  То есть конкретный альфа зафиксировали, а дальше берем х отсюда и начинаем по окружности двигаться на шаг вот такой.
[ 308.4 ->  309.6]  То есть делать поворот.
[ 310.4 ->  316.9]  В результате, если у нас взять два разных х, то они попадут в разные классы, если их разность не будет вот такой.
[ 317.7 ->  320.6]  Соответственно, мы снова получаем классы эквивалентности.
[ 321.1 ->  323.8]  И эти классы соответствуют повороту точек.
[ 323.8 ->  333.7]  Вот если это множество обозначить дальше, нам нужно выбрать в каждом классе по точке.
[ 333.9 ->  338.0]  Вот я назову множество А0, выбрав из каждого класса по одной точке.
[ 338.0 ->  344.8]  И будем делать поворот этого множества на вот такое, соответственно, значение.
[ 345.2 ->  351.7]  То есть А1, это поворот будет на 2П альфа, потом на 2П 2 альфа и так далее.
[ 352.2 ->  359.6]  То есть мы выбрали из каждого класса по одной точке, выполняем поворот, получаем новый набор точек на окружности.
[ 359.6 ->  366.0]  То есть если мы этот поворот делаем для любого n, то в целом это будет объединение, которое даст нам все точки окружности.
[ 367.0 ->  378.8]  То есть вся окружность, а это фактически равносильно длине интервала 0,2П, будет представляться как объединение вот таких вот точек, полученных поворотом.
[ 378.8 ->  391.9]  И значит, если у нас будет мера множества А0, а мера множества А0, она совпадает с мерой любого сдвига, потому что это поворот те же самых точек, и при сдвиге у нас мера не будет меняться.
[ 392.6 ->  401.6]  Тогда так же, как и вот в этом линейном случае, мы получим здесь сумму мер Аn, но с одной стороны это одинаковые у нас числа А0,
[ 401.6 ->  409.5]  а с другой стороны получим длину отрезка, то есть получим длину кривой, в данном случае это 2П.
[ 410.1 ->  417.6]  Ну и если предположить, что это множество измеримо, тогда его мера может быть либо нулевой, либо положительной.
[ 418.3 ->  422.7]  В нулевом случае получаем противоречие, а в положительном тоже получаем противоречие.
[ 424.0 ->  426.2]  Таким образом, это неизменимое множество.
[ 428.0 ->  430.0]  Пример тоже называется пример Витали.
[ 430.0 ->  443.4]  Идея доказательства там вот такая же, как здесь с построением этого множества.
[ 449.8 ->  454.6]  В любом непустом измеримом множестве положительной меры,
[ 454.6 ->  460.4]  в любом непустом множестве положительной меры,
[ 460.6 ->  463.7]  есть неизмеримая часть.
[ 463.7 ->  478.9]  То есть существует неизмеримое подмножество.
[ 478.9 ->  482.4]  Есть его неизмеримая часть.
[ 482.4 ->  483.5]  Неизмеримая часть.
[ 483.6 ->  489.3]  То есть в любом измеримом непустом положительной мере есть множество, которое неизмеримо.
[ 496.1 ->  502.3]  Ну, речь сейчас идёт о множествах на R и мера, которая получена путём продолжения длины.
[ 502.5 ->  504.0]  То есть пока мы говорим про R1.
[ 504.0 ->  513.9]  В общем случае всё зависит от того, какую функцию мы берём в качестве меры и что мы продолжаем.
[ 514.5 ->  515.4]  Вот пример такой.
[ 515.5 ->  521.5]  Здесь изначально в качестве меры мы брали длину отрезка и делали продолжение на более широкий класс.
[ 521.5 ->  528.2]  Но если, например, взять в качестве базовой функции такую, вот зафиксировать такую точку,
[ 528.3 ->  537.5]  допустим, мера равна единице, если 0 принадлежит множеству A и равна 0, если 0 не принадлежит множеству A,
[ 538.0 ->  541.0]  то здесь при продолжении любое множество будет изменимо.
[ 542.5 ->  545.3]  Потому что слишком простая функция получается, да?
[ 545.3 ->  550.9]  И если у вас во множестве либо есть 0, либо нет 0,
[ 551.1 ->  555.3]  поэтому какое бы множество ни взяли, у него будет мера согласно этой формуле.
[ 555.4 ->  557.9]  А эта функция, она сигма-аддитивна, всё с ней хорошо.
[ 558.7 ->  562.2]  То есть на самом деле вопрос измеримости, неизмеримости множеств,
[ 562.2 ->  565.8]  он всё-таки зависит от того, какую функцию мы изначально продолжаем
[ 565.8 ->  567.7]  и с какого множества мы всё это делаем.
[ 568.2 ->  573.3]  И вот тот факт, что я сформулировала про то, что в любом измеримом ненулевой меры
[ 573.3 ->  577.3]  есть неизмеримая часть, это речь идёт о либеговой длине,
[ 577.4 ->  582.8]  то есть R1 и продолжение длины обычной на класса неизмеримых множеств.
[ 584.6 ->  588.1]  Так, теперь ещё такой момент, тоже связанно.
[ 588.1 ->  590.1]  Можно вопрос чуть-чуть по общему мнению?
[ 591.0 ->  594.5]  У нас неизмеримое множество может быть при условии,
[ 594.6 ->  596.7]  ну, например, что мы там выбираем о всём выборах, правильно?
[ 597.0 ->  599.5]  Ну, это, так сказать, да, вопрос религии почти.
[ 599.5 ->  601.5]  А если вопрос о стандартном автомате,
[ 601.5 ->  604.1]  это зависит от утверждения, правильно?
[ 604.8 ->  608.8]  Ну, скажем, для того, чтобы доказать неизмеримость,
[ 608.9 ->  610.3]  надо принять аксиому выбора.
[ 611.8 ->  613.4]  Наличие неизмеримого, ладно.
[ 619.3 ->  621.1]  Аксиома выбора — это там про что?
[ 622.0 ->  624.0]  Там это именно про аксиомы множеств?
[ 624.8 ->  626.5]  Да, аксиомы теории множеств.
[ 627.5 ->  629.1]  А выбор там что?
[ 629.3 ->  630.9]  Выбор множеств?
[ 630.9 ->  634.9]  Ну, из любого набора множеств можно выбрать...
[ 635.9 ->  638.2]  Ну, это такая простая формулировка.
[ 638.2 ->  641.2]  Если есть некая система подмножеств,
[ 641.3 ->  644.2]  то из каждого подмножества можно выбрать по одному элементу,
[ 644.3 ->  648.5]  и полученное в результате множество будет являться подмножеством исходного.
[ 648.5 ->  651.9]  То есть берём из каждого вот этого множества по элементам и запрыгиваем там...
[ 651.9 ->  654.7]  Ну, есть некое множество, есть набор подмножеств.
[ 654.7 ->  657.8]  Из каждого взяли по одному и составили множество,
[ 657.9 ->  659.6]  оно будет подмножеством исходного.
[ 660.0 ->  663.1]  Для счётного набора множеств тут всё как бы понятно.
[ 663.1 ->  666.7]  Тут вопрос с несчетным набором, если у нас несчетное множество.
[ 667.9 ->  670.5]  Несчетное множество под множество, так скажем.
[ 670.7 ->  674.3]  То есть тут такая более глубокая проблема.
[ 675.2 ->  679.2]  Ну и тут математики делятся на тех, кто это признает и не признает.
[ 681.2 ->  684.2]  Больше, наверное, все-таки сейчас уже те, кто признает.
[ 686.0 ->  688.5]  Так, вернемся.
[ 688.9 ->  690.1]  Это вообще разрешимые вопросы?
[ 691.0 ->  693.0]  Нет, наверное, не разрешимые.
[ 693.1 ->  696.3]  Вопрос веры больше уже, да?
[ 697.3 ->  698.7]  В плане разрешимые вопросы?
[ 699.6 ->  703.5]  Ну типа хоть, это вообще теоретически возможно, хоть когда-нибудь в какой-то карте?
[ 703.7 ->  705.6]  Что, проверить аксиому в выборах?
[ 705.7 ->  705.8]  Да.
[ 705.9 ->  711.8]  Она у тебя независима, там проверяли, ну чисто логическими следствиями, она независима от остальных аксиом, которые принимаются.
[ 711.8 ->  714.6]  Что она либо есть, либо принять, либо не принять.
[ 714.6 ->  717.8]  То есть у тебя полностью строится теория, где она есть, и полностью строится теория, где ее нет.
[ 718.0 ->  718.6]  Доказать.
[ 718.8 ->  721.0]  И не тайне-тайне является противоречивой.
[ 721.0 ->  730.1]  То есть там система аксиома должна быть не противоречивая друг другу, но вот отказ или принятие этой аксиомы в целом не меняет ситуацию.
[ 730.1 ->  733.7]  Доказательства тогда имеют утверждение, будет?
[ 734.0 ->  734.1]  Да?
[ 734.5 ->  735.1]  Доказательства.
[ 735.3 ->  735.9]  Ну вот, к такому примеру.
[ 735.9 ->  741.5]  А, про неизмеримую часть? Нет, доказательства не будет, но идея там вот похожа на построение этого множества деталей.
[ 741.6 ->  750.0]  Если это множество положительной меры, то мы в нем будем строить тоже классы эквивалентности подобным образом, если выстраивать там соответствующие следствия.
[ 750.0 ->  754.4]  Так, еще один факт, который тоже мы обоснуем.
[ 754.7 ->  758.1]  Он касается не только R1, но и более общего случая.
[ 759.0 ->  765.0]  Если внешняя мера множества А равна нулю, то тогда множество А измеримо.
[ 769.4 ->  775.0]  Если внешняя мера множества А равна нулю, то тогда множество А измеримо.
[ 775.0 ->  784.6]  Так, ну, доказательства.
[ 785.6 ->  789.7]  Предположим, что внешняя мера множества А есть 0.
[ 791.0 ->  793.2]  Тогда что такое верхняя мера?
[ 793.4 ->  805.3]  Это инфимум по всевозможным покрытиям сумм мер ожитых, где А попадает в объединение ожитых.
[ 805.4 ->  807.4]  Ожитые элементарные множества.
[ 807.9 ->  810.6]  И вот сейчас этот финн, инфимум, у нас равен нулю.
[ 810.6 ->  816.8]  Следовательно, существует такое покрытие, я назову его B.
[ 817.9 ->  834.7]  То есть это объединение каких-то элементарных множеств, для которого либо мера сразу 0.
[ 836.0 ->  838.0]  То есть что такое вообще инфимум?
[ 838.0 ->  841.6]  Инфимум это либо минимум, либо предельная точка множества.
[ 841.6 ->  847.0]  То есть первый вариант, существует такое множество, что его мера сразу 0.
[ 848.0 ->  851.9]  Но тогда в силу того, что B вложено в А.
[ 857.8 ->  859.3]  Наоборот, А вложено в B.
[ 860.3 ->  861.3]  А вложено в B.
[ 861.7 ->  863.0]  То есть покрытие А.
[ 863.4 ->  869.0]  Второй тоже запишу.
[ 869.5 ->  874.0]  Второй случай, существует такая последовательность покрытий.
[ 874.0 ->  879.9]  B, они все содержат в себе множество А.
[ 880.6 ->  887.2]  И предел B, N равен нулю.
[ 887.4 ->  889.3]  При N, стремящемся к бесконечности.
[ 889.4 ->  890.3]  Ну раз, имя, это 0.
[ 893.1 ->  896.3]  Ну и теперь рассмотрим симметрическую разность в этом случае.
[ 897.6 ->  900.3]  А и B, N.
[ 904.2 ->  906.5]  Симметрическую разность А и B, N.
[ 906.5 ->  917.0]  Это симметрическая разность вложена в А объединение с B, N.
[ 917.4 ->  917.7]  Почему?
[ 918.4 ->  919.2]  С B, N.
[ 919.2 ->  925.1]  Ну симметрическая разность это часть объединения минус пересечения.
[ 926.1 ->  926.3]  Вот это.
[ 926.8 ->  931.0]  Она в любом случае лежит в объединении B, N и A.
[ 931.0 ->  942.1]  И, следовательно, верхняя мера асимметрической разности в силу свойств верхней меры асимметрической разности B, N,
[ 942.6 ->  944.8]  меньше либо равна, чем сумма вот этих.
[ 945.9 ->  950.7]  Верхняя мера А плюс верхняя мера B, N.
[ 954.7 ->  956.8]  У B, N у нас имеет нулевой предел.
[ 957.4 ->  960.9]  Вот это у нас уже 0 по условию.
[ 960.9 ->  963.4]  И, значит, вот этот предел тоже 0.
[ 963.5 ->  965.0]  Вот это стремится к нулю.
[ 965.6 ->  968.3]  Следовательно, это тоже стремится к нулю.
[ 969.4 ->  976.6]  Тогда данный факт означает, что множество А является пределом элементарных множеств B, N.
[ 977.7 ->  980.1]  А это означает, что оно измеримо.
[ 980.8 ->  985.1]  Оно измеримо.
[ 991.1 ->  992.9]  Ну, собственно, и всё.
[ 992.9 -> 1000.1]  В первом случае получается, что множество B можно там представить тоже.
[1000.4 -> 1002.3]  В принципе, можно эту же идею использовать.
[1003.4 -> 1007.3]  Получится, что тоже будет множество измеримо.
[1008.0 -> 1008.5]  Позитарно.
[1008.7 -> 1009.0]  Спасибо.
[1017.6 -> 1023.9]  Ну, отсюда следует, что если разница между множествами имеет нулевую меру,
[1023.9 -> 1038.3]  то тогда либо оба множества измеримы, либо оба неизмеримы.
[1039.1 -> 1044.4]  Потому что одно из них тогда можно представить как объединение другого со множеством с нулевым мером.
[1044.4 -> 1045.9]  То есть тогда не только на тихоуски.
[1046.9 -> 1050.3]  Ещё одно определение запишем из общего.
[1051.9 -> 1052.8]  Определение это.
[1054.0 -> 1070.8]  Мера называется полной, если из того факта, что мера множества А равна нулю,
[1071.9 -> 1079.0]  и того факта, что B вложено в А, следует, что мера B есть нуль.
[1079.0 -> 1085.5]  И те меры, что мы рассматривали до этого, меру любега, она является полной.
[1086.3 -> 1091.6]  Поэтому любое подмножество нулевой меры само будет иметь нулевую меру.
[1097.5 -> 1100.5]  А бывают разве случаи, что не так?
[1101.0 -> 1103.0]  Если нет этого свойства, то не так.
[1105.6 -> 1108.6]  Есть много разных экзотических случаев.
[1108.8 -> 1111.3]  То есть когда построена такая базовая теория,
[1111.7 -> 1117.2]  дальше начинают искать в ней какие-то недостатки и неучтённые особенности.
[1117.2 -> 1122.7]  И получается, что есть некие функции, которые таким свойством не обладают.
[1122.8 -> 1125.7]  И тогда у нас мера окажется неполной.
[1126.0 -> 1130.3]  И в подможце нулевой меры могут быть неразмерительные возможности.
